stopwords_removed,3-gram
['anjing'],[]
"['banyak', 'update', 'sinyal', 'server', 'urus', 'sinyal', 'bagus', 'lag']","['banyak_update_sinyal', 'server_urus_sinyal', 'sinyal_bagus_lag', 'sinyal_server_urus', 'update_sinyal_server', 'urus_sinyal_bagus']"
['bagus'],[]
"['bagus', 'walaupun', 'ngelagketemu', 'gelap', 'situ', 'ajar', 'toxic', 'terimakasih', 'developer', 'makanya', 'dm', 'sampai', 'assalamualaikum', 'warahmatullahi', 'wabarakatuh']","['ajar_toxic_terimakasih', 'assalamualaikum_warahmatullahi_wabarakatuh', 'bagus_walaupun_ngelagketemu', 'developer_makanya_dm', 'dm_sampai_assalamualaikum', 'gelap_situ_ajar', 'makanya_dm_sampai', 'ngelagketemu_gelap_situ', 'sampai_assalamualaikum_warahmatullahi', 'situ_ajar_toxic', 'terimakasih_developer_makanya', 'toxic_terimakasih_developer', 'walaupun_ngelagketemu_gelap']"
"['seru', 'knpa', 'beberapa', 'parah', 'banget', 'pdhl', 'bagus', 'langsung', 'parah', 'banget', 'pdhl', 'belum', 'gprnh', 'masalah', 'lg']","['bagus_langsung_parah', 'banget_pdhl_bagus', 'banget_pdhl_belum', 'beberapa_parah_banget', 'belum_gprnh_masalah', 'gprnh_masalah_lg', 'knpa_beberapa_parah', 'langsung_parah_banget', 'parah_banget_pdhl', 'pdhl_bagus_langsung', 'pdhl_belum_gprnh', 'seru_knpa_beberapa']"
"['rekomendasi', 'ton', 'kurang', 'gelap']","['rekomendasi_ton_kurang', 'ton_kurang_gelap']"
"['pertama', 'terimakasih', 'cipta', 'epic', 'beri', 'saran', 'tolong', 'benah', 'minta', 'tolong', 'benah', 'matching', 'garis', 'bawah', 'sungguh', 'classic', 'lagend', 'dapetnya', 'pangkat', 'warior', 'masuk', 'akal', 'mohon', 'benah', 'begitu', 'sudah', 'maklum', 'classic', 'lebih']","['akal_mohon_benah', 'bawah_sungguh_classic', 'begitu_sudah_maklum', 'benah_begitu_sudah', 'benah_matching_garis', 'benah_minta_tolong', 'beri_saran_tolong', 'cipta_epic_beri', 'classic_lagend_dapetnya', 'dapetnya_pangkat_warior', 'epic_beri_saran', 'garis_bawah_sungguh', 'lagend_dapetnya_pangkat', 'maklum_classic_lebih', 'masuk_akal_mohon', 'matching_garis_bawah', 'minta_tolong_benah', 'mohon_benah_begitu', 'pangkat_warior_masuk', 'pertama_terimakasih_cipta', 'saran_tolong_benah', 'sudah_maklum_classic', 'sungguh_classic_lagend', 'terimakasih_cipta_epic', 'tolong_benah_matching', 'tolong_benah_minta', 'warior_masuk_akal']"
"['selalu', 'adil', 'mana', 'musuh', 'terlalu', 'jago', 'mula']","['adil_mana_musuh', 'mana_musuh_terlalu', 'musuh_terlalu_jago', 'selalu_adil_mana', 'terlalu_jago_mula']"
"['ketemu', 'bot']",[]
"['minimal', 'beri', 'musuh', 'sendiri', 'imbang', 'laa', 'sendiri', 'gabisaa', 'lawan', 'jago', 'gimana', 'menang']","['beri_musuh_sendiri', 'gabisaa_lawan_jago', 'imbang_laa_sendiri', 'jago_gimana_menang', 'laa_sendiri_gabisaa', 'lawan_jago_gimana', 'minimal_beri_musuh', 'musuh_sendiri_imbang', 'sendiri_gabisaa_lawan', 'sendiri_imbang_laa']"
"['inih', 'bagus']",[]
"['legends', 'seruu']",[]
['baik'],[]
"['kotol', 'lose', 'lose', 'moga', 'ceper', 'mati', 'nonton']","['ceper_mati_nonton', 'kotol_lose_lose', 'lose_lose_moga', 'lose_moga_ceper', 'moga_ceper_mati']"
['tai'],[]
['bantu'],[]
"['tolong', 'baik']",[]
"['bagus', 'ampe', 'ratarata', 'playernya', 'sdm', 'turun']","['ampe_ratarata_playernya', 'bagus_ampe_ratarata', 'playernya_sdm_turun', 'ratarata_playernya_sdm']"
